Name,degree,weightedDegree,betweenness,closeness,eigenvector,community
Jonathan Thomas,4.0,5.0,0.0,0.22800893605138228,0.00027281808239623,1440
Marc Cubeta,10.0,10.0,8375.386273934237,0.27514743049705137,0.002538171723764312,1440
Ryan Andres,15.0,15.0,1002.6594459684643,0.2668300653594771,0.003033050117768376,1405
John R. Tuttle,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Baljinder Kaur,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Linglong Zhu,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Hui Fang,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Daryl Bowman,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Sang-Won Han,11.0,11.0,0.0,0.25119212428857096,0.0018939030893006857,1405
Dahlia Nielsen,4.0,4.0,557.8462385678795,0.2585087858160519,0.0018307509118752727,81
Nathan Crook,5.0,7.0,0.0,0.20676120536844772,0.0012793192387873095,1685
Abdulkerim Eroglu,5.0,6.0,0.0,0.20676120536844772,0.0012793192387873095,1685
Devarshi Selote,4.0,6.0,0.0,0.22813635093601564,0.0022071472210404394,1221
Jeffrey Gillikin,4.0,6.0,0.0,0.22813635093601564,0.0022071472210404394,1221
Christopher Michael Shuford,11.0,11.0,0.0,0.27828902522154053,0.07423797589620368,1221
Zhishan Guo,1.0,1.0,0.0,0.6,2.0997466564254865e-22,701
Ha Vien,1.0,1.0,0.0,0.17467108781687882,0.000006699150284731829,979
Mat Fukuzawa,4.0,4.0,0.0,0.5769230769230769,3.4926652815238163e-13,1501
Donald Warsing,4.0,7.0,0.0,0.5769230769230769,3.4926652815238163e-13,1501
Brandon McConnell,5.0,12.0,1.5,0.6,3.8037711284284025e-13,1501
Russ Nelson,2.0,2.0,0.0,0.5357142857142857,2.0774639694200942e-13,1501
Lori Rothenberg,3.0,4.0,0.5,0.5555555555555556,2.1511565087648084e-13,1501
Sara Hood,2.0,2.0,0.0,0.5357142857142857,1.7863895335175292e-13,1501
Ola Lars Harrysson,7.0,7.0,4202.48492204338,0.22127371273712737,0.00046627287274462646,735
Harvey West II,3.0,3.0,0.0,0.20313471824853838,0.0002002512405336282,735
Chun Myung Park,3.0,3.0,0.0,0.20313471824853838,0.0002002512405336282,735
Joseph Leo Betthauser,5.0,8.0,0.2,0.2670482420278005,0.004616513034510463,1556
Daniel Antonio Benavides,5.0,8.0,0.2,0.2670482420278005,0.004616513034510463,1556
Jeffrey Curtis Schornick,5.0,8.0,0.2,0.2670482420278005,0.004616513034510463,1556
Chris Sharkey,9.0,11.0,1033.115606838152,0.2963164579931047,0.017888211711234704,840
Hayley Richardson,5.0,6.0,1.5,0.24567474048442905,0.006043683093714052,840
Ellie Wilson,2.0,2.0,0.0,0.2455639097744361,0.004484321526696104,840
Michael D McKnight,18.0,31.0,560.6938162453083,0.2593298396061617,0.015712159369438334,1556
Henry Goodell,14.0,17.0,23.857094383912703,0.2592063492063492,0.015324221197269346,1556
Eric C. Beppler,16.0,21.0,142.6124190708803,0.25928866306764053,0.016117371836263498,1556
Jesse Jur,11.0,12.0,20.989413650250054,0.2590829763604633,0.013022731328853973,1556
Tahmid Latif,18.0,35.0,1216.615205337462,0.2852401746724891,0.017101712770894183,1556
Eric Michael Whitmire,10.0,17.0,223.49591868525732,0.276404874746107,0.011544840331386495,1556
Tristan Lawrence Novak,5.0,10.0,0.16666666666666666,0.24727437916414294,0.006796943286445228,1556
Hannah Kausche,6.0,14.0,0.0,0.24727437916414294,0.005024591226167533,1556
Fengyuan Gong,4.0,4.0,0.0,0.25712486222642106,0.005327168635528381,1556
Mihail Sichitiu,9.0,17.0,270.47683290514067,0.283605418548107,0.010136300711023132,1556
Xun Wu,8.0,23.0,3.65,0.221875,0.0018142821036042293,1556
Jeanne Sanders,6.0,15.0,0.2,0.22181472425971205,0.0016802795532885881,1556
Namita Dilip Lokare,6.0,10.0,1.3333333333333333,0.2670919201831861,0.004680750608811207,1556
Laura Gonzalez,4.0,6.0,0.0,0.2670045781556573,0.004114355668233003,1556
Jose M. Valero-Sarmiento,3.0,5.0,0.5,0.2471621008021795,0.004584013733776853,1556
He Huang,12.0,21.0,1348.230920758567,0.280970406056435,0.009005456717136815,1556
Alec Brewer,16.0,18.0,693.7960695781809,0.29062110695853355,0.02368022140168541,1556
Shevaun Neupert,11.0,11.0,0.0,0.27862139566626853,0.01500525387809387,1556
Thomas Hess,11.0,11.0,0.0,0.27862139566626853,0.01500525387809387,1556
Jason Franz,17.0,21.0,1023.4131467830874,0.2906728373086508,0.02236710758173788,1556
Maxwell Noonan,11.0,11.0,0.0,0.27862139566626853,0.01500525387809387,1556
Madilynn Smith,11.0,11.0,0.0,0.27862139566626853,0.01500525387809387,1556
Emily Eichenlaub,11.0,11.0,0.0,0.27862139566626853,0.01500525387809387,1556
Jeffrey Barahona,8.0,16.0,21.21395075594566,0.288261253309797,0.01497092721003274,840
Yuhan Chen,10.0,17.0,275.64460023240974,0.28836305844958504,0.01546028424917771,840
Alan Rosenbaum,5.0,5.0,0.0,0.28189193854652167,0.009680932071634101,840
Prafulla Regmi,3.0,3.0,0.0,0.2471621008021795,0.005090792135067287,1556
Mahmoud Abdelkhalek,2.0,2.0,0.0,0.2759844515801927,0.006356970168358406,1556
Jennifer Fang,7.0,7.0,0.0,0.26744186046511625,0.010699598220842304,840
Sneha Mukherjee,7.0,7.0,0.0,0.26744186046511625,0.010699598220842304,840
Jianqing Liu,3.0,3.0,0.0,0.5789473684210527,1.3550326132353994e-13,102
Zhizhen Li,9.0,17.0,10.833333333333332,0.8461538461538461,2.8869093573408964e-13,102
Zhijin Yang,3.0,3.0,0.0,0.5789473684210527,1.3550326132353994e-13,102
Xuanhao Luo,4.0,9.0,0.3333333333333333,0.6111111111111112,1.6571305000306093e-13,102
Chenhan Xu,3.0,6.0,0.0,0.5789473684210527,1.4103264035291573e-13,102
Heather Manching,1.0,2.0,0.0,0.23345246604717657,0.00044589602635373624,81
H Nagle,10.0,10.0,221.90102009485915,0.25274725274725274,0.010955292507397374,1556
Marzana Mantasha Mahmud,12.0,17.0,831.2346737787348,0.2528255147855705,0.011192521145427044,1556
Chunkyun Seok,7.0,21.0,1.2468364968364969,0.22190515015627124,0.002210108883271864,1556
Akhilesh Tanneeru,11.0,17.0,1039.504162701522,0.27795744680851064,0.013730119755121444,1556
Steven C. Mills,17.0,34.0,105.31250355176273,0.25928866306764053,0.0164045387878539,1556
Michael S. Lim,10.0,26.0,1.4374060150375942,0.24866758032587177,0.010897685195171421,1556
Oluwafemi Adelegan,17.0,73.0,21.453712953712955,0.22220710300721186,0.0032494584748975364,1556
Ashish Kapoor,11.0,14.0,70.30093636925422,0.2547581903276131,0.006361906340349493,1556
Emran Ashik,2.0,2.0,0.0,0.2297734627831715,0.0025609957798854743,1556
In Hwan Ji,4.0,8.0,0.0,0.22983814215341308,0.0028171167111943844,1556
Sizhen Wang,4.0,8.0,0.0,0.22983814215341308,0.0028171167111943844,1556
Alex Huang,4.0,8.0,0.0,0.22983814215341308,0.0028171167111943844,1556
Paul Dayton,14.0,27.0,15.533333333333331,0.22205602393255372,0.002540194433942259,1556
Muhammet Annayev,12.0,39.0,7.383333333333334,0.22199564980967917,0.0024285112774263414,1556
Tamzid Ibn Minhaj,8.0,22.0,0.5333333333333333,0.221875,0.001939686017353015,1556
Zack Coutant,8.0,16.0,0.7666666666666667,0.221875,0.001908212485014529,1556
Kathlyne Bautista,8.0,8.0,0.0,0.221875,0.002055842452144757,1556
Thomas Kierski,8.0,8.0,0.0,0.221875,0.002055842452144757,1556
Ermek Belekov,8.0,9.0,0.0,0.221875,0.002055842452144757,1556
Jason M. Strohmaier,12.0,12.0,0.0,0.2590829763604633,0.013941552225634963,1556
Zifan Zhang,3.0,6.0,0.5,0.5789473684210527,1.0103573055630407e-13,102
Xiao Zhang,5.0,23.0,0.0,0.22178459866902078,0.0015602728273813168,1556
Warren Weisler,3.0,3.0,0.0,0.19834811125956517,0.00018711959594970687,1280
Dongkuan Xu,4.0,5.0,1.0,0.6111111111111112,1.5952522213787278e-13,102
Darcy Adin,9.0,13.0,0.0,0.2475367591329392,0.007067344833440321,1556
Margaret Gruen,16.0,20.0,1422.1140451985618,0.27673275715980344,0.012221551603725801,1556
Marc Foster,19.0,32.0,30.712070282658516,0.24798785117691724,0.013367180684037673,1556
Zachary Cleghern,9.0,9.0,0.0,0.2475367591329392,0.007067344833440321,1556
Aaron Fleming,8.0,8.0,0.0,0.2546390145017932,0.005242317893187784,1556
Yilu Zhou,7.0,9.0,2.0,0.22993522951281328,0.003758266582900686,1556
Farzad Mohaddes,5.0,5.0,0.0,0.22987049549549549,0.003301942575076078,1556
Smriti Rao,5.0,5.0,0.0,0.22987049549549549,0.003301942575076078,1556
Srikant Jayanti,6.0,6.0,0.0,0.2299028579473462,0.0031441328265746807,1556
Neil Halen Di Spigna,6.0,6.0,0.0,0.2299028579473462,0.0031441328265746807,1556
Xiangyu Yang,2.0,10.0,0.0,0.2297734627831715,0.0025609957798854743,1556
Mahaboobbatcha Aleem,8.0,12.0,74.2422786327407,0.24046532174937418,0.0061399945499276895,1556
Swati Deswal,6.0,8.0,142.237089904048,0.24482758620689654,0.004365993375866234,1556
Munindar Singh,2.0,2.0,0.0,0.2297734627831715,0.0015929617922240881,1556
Min Chi,2.0,2.0,0.0,0.2297734627831715,0.0015929617922240881,1556
Robert Tyler Loftin,7.0,7.0,0.0,0.24731182795698925,0.005763115686997808,1556
Devon Martin,19.0,33.0,4517.445956995452,0.3084624102757839,0.022772949652955694,1556
Timothy Holder,13.0,24.0,142.5547541838224,0.25635792778649924,0.009898648242743165,1556
Grace Maddocks,8.0,10.0,6.933148740253331,0.24712469733656175,0.008937030234661443,840
Matt Taggart,17.0,26.0,7207.411066637127,0.30455054084296906,0.020612859752027812,81
Ricky Pimentel,7.0,10.0,238.66579736496493,0.28198929373165255,0.011425201514184875,840
Max Yates,6.0,6.0,0.0,0.2470499243570348,0.00832870503532371,840
Kirstie Queener,7.0,8.0,0.0,0.2882103776914931,0.015782342378629556,840
