title,authors,nc_state_people,DOI,year,topics,co_author,nc_authors,unity_ids
Variation in range size and dispersal capabilities of microbial taxa,"Choudoir, Mallory J.; Barberan, Albert; Menninger, Holly L.; Dunn, Rob R.; Fierer, Noah",Holly Lynn Menninger (hlmennin); Rob Dunn (rrdunn); Mallory Choudoir (mchoudo),10.1002/ecy.2094,2017,Microbial Community Ecology and Physiology; Gut microbiota and health; Species Distribution and Climate Change,"Barberan, Albert; Menninger, Holly L.; Dunn, Rob R.; Fierer, Noah","Menninger, Holly L.; Dunn, Rob R.; Choudoir, Mallory J.",hlmennin; rrdunn; mchoudo
Novel disturbance interactions between fire and an emerging disease impact survival and growth of resprouting trees,"Simler, Allison B.; Metz, Margaret R.; Frangioso, Kerri M.; Meentemeyer, Ross K.; Rizzo, David M.",Ross Meentemeyer (rkmeente),10.1002/ecy.2493,2018,Fire effects on ecosystems; Plant and Fungal Interactions Research; Forest Insect Ecology and Management,"Metz, Margaret R.; Frangioso, Kerri M.; Meentemeyer, Ross K.; Rizzo, David M.","Meentemeyer, Ross K.",rkmeente
Direct and indirect effects of forest microclimate on pathogen spillover,"Dillon, Whalen W.; Meentemeyer, Ross K.",Ross Meentemeyer (rkmeente); Whalen William Dillon (wwdillon),10.1002/ecy.2686,2019,Plant Pathogens and Resistance; Plant Virus Research Studies; Plant and Fungal Interactions Research,"Meentemeyer, Ross K.","Meentemeyer, Ross K.; Dillon, Whalen W.",rkmeente; wwdillon
Spatial and temporal turnover of soil microbial communities is not linked to function in a primary tropical forest,"Kivlin, Stephanie N.; Hawkes, Christine V.",Christine Hawkes (chawkes),10.1002/ecy.2985,2020,Microbial Community Ecology and Physiology; Mycorrhizal Fungi and Plant Interactions; Soil Carbon and Nitrogen Dynamics,"Hawkes, Christine V.","Hawkes, Christine V.",chawkes
Volatile organic compounds from leaf litter decomposition alter soil microbial communities and carbon dynamics,"McBride, Steven G.; Choudoir, Mallory; Fierer, Noah; Strickland, Michael S.",Mallory Choudoir (mchoudo),10.1002/ecy.3130,2020,Microbial Community Ecology and Physiology; Soil Carbon and Nitrogen Dynamics; Gut microbiota and health,"Choudoir, Mallory; Fierer, Noah; Strickland, Michael S.","Choudoir, Mallory",mchoudo
Soil precipitation legacies influence intraspecific plant–soil feedback,"Crawford, Kerri M.; Hawkes, Christine V.",Christine Hawkes (chawkes),10.1002/ecy.3142,2020,Mycorrhizal Fungi and Plant Interactions; Ecology and Vegetation Dynamics Studies; Soil Carbon and Nitrogen Dynamics,"Hawkes, Christine V.","Hawkes, Christine V.",chawkes
Revisiting institutional stability: A systematic review and distillations of dominant modes,"Galik, Christopher S.; Chelbi, Leila",Christopher Galik (csgalik); Leila Chelbi (lchelbi),10.1002/eet.1941,2021,Regulation and Compliance Studies; Public Policy and Administration Research; Sustainability and Climate Change Governance,"Chelbi, Leila","Galik, Christopher S.; Chelbi, Leila",csgalik; lchelbi
"Changing disturbance regimes, ecological memory, and forest resilience","Johnstone, Jill F.; Allen, Craig D.; Franklin, Jerry F.; Frelich, Lee E.; Harvey, Brian J.; Higuera, Philip E.; Mack, Michelle C.; Meentemeyer, Ross K.; Metz, Margaret R.; Perry, George L. W.; Schoennagel, Tania; Turner, Monica G.",Ross Meentemeyer (rkmeente),10.1002/fee.1311,2016,Ecosystem dynamics and resilience; Ecology and Vegetation Dynamics Studies; Fire effects on ecosystems,"Allen, Craig D.; Franklin, Jerry F.; Frelich, Lee E.; Harvey, Brian J.; Higuera, Philip E.; Mack, Michelle C.; Meentemeyer, Ross K.; Metz, Margaret R.; Perry, George L. W.; Schoennagel, Tania; Turner, Monica G.","Meentemeyer, Ross K.",rkmeente
Iteratively forecasting biological invasions with PoPS and a little help from our friends,"Jones, Chris M.; Jones, Shannon; Petrasova, Anna; Petras, Vaclav; Gaydos, Devon; Skrip, Megan M.; Takeuchi, Yu; Bigsby, Kevin; Meentemeyer, Ross K.",Chris Jones (cmjone25); Anna Petrasova (akratoc); Vaclav Petras (vpetras); Devon Gaydos (dagaydos); Megan Skrip (mmskrip); Yu Takeuchi (ytakeuc); Ross Meentemeyer (rkmeente); Shannon Jones (skjohnso); Kevin Michael Bigsby (kmbigsby),10.1002/fee.2357,2021,Species Distribution and Climate Change; Forest Insect Ecology and Management; Plant and animal studies,"Jones, Shannon; Petrasova, Anna; Petras, Vaclav; Gaydos, Devon; Skrip, Megan M.; Takeuchi, Yu; Bigsby, Kevin; Meentemeyer, Ross K.","Jones, Chris M.; Petrasova, Anna; Petrasova, Anna; Gaydos, Devon; Skrip, Megan M.; Takeuchi, Yu; Meentemeyer, Ross K.; Jones, Chris M.; Bigsby, Kevin",cmjone25; akratoc; vpetras; dagaydos; mmskrip; ytakeuc; rkmeente; skjohnso; kmbigsby
Applying comprehensive environmental assessment to research planning for multiwalled carbon nanotubes: Refinements to inform future stakeholder engagement,"Powers, Christina M; Grieger, Khara; Meacham, Connie A; Gooding, Meredith Lassiter; Gift, Jeffrey S; Lehmann, Geniece M; Hendren, Christine O; Davis, J Michael; Burgoon, Lyle",Khara Grieger (kdgriege),10.1002/ieam.1663,2015,Environmental and Social Impact Assessments; Risk Perception and Management; Environmental Justice and Health Disparities,"Grieger, Khara; Meacham, Connie A; Gooding, Meredith Lassiter; Gift, Jeffrey S; Lehmann, Geniece M; Hendren, Christine O; Davis, J Michael; Burgoon, Lyle","Grieger, Khara",kdgriege
Overcoming Challenges of Incorporating Higher Tier Data in Ecological Risk Assessments and Risk Management of Pesticides in the United States: Findings and Recommendations from the 2017 Workshop on Regulation and Innovation in Agriculture,"Levine, S.L.; Giddings, J.; Valenti, T.; Cobb, G.P.; Seth Carley, D.; McConnell, L.L.",Danesha Carley (dgseth2),10.1002/ieam.4173,2019,Pesticide and Herbicide Environmental Studies; Insect and Pesticide Research; Pesticide Exposure and Toxicity,"Giddings, J.; Valenti, T.; Cobb, G.P.; Seth Carley, D.; McConnell, L.L.","Seth Carley, D.",dgseth2
Incorporating the benefits of vegetative filter strips into risk assessment and risk management of pesticides,"Chen, Huajin; Carley, Danesha Seth; Munoz-Carpena, Rafael; Ferruzzi, Giulio; Yuan, Yongping; Henry, Eric; Blankinship, Amy; Veith, Tamie L.; Breckels, Ross; Fox, Garey; Luo, Yuzhou; Osmond, Deanna; Preisendanz, Heather E.; Tang, Zhenxu; Armbrust, Kevin; Costello, Kevin; Mcconnell, Laura L.; Rice, Patricia; Westgate, Johnny; Whiteside, Melanie",Danesha Carley (dgseth2); Yongping Yuan (yyuan25); Garey Fox (gafox2); Deanna Osmond (dosmond),10.1002/ieam.4824,2023,Pesticide and Herbicide Environmental Studies; Hydrology and Watershed Management Studies; Soil erosion and sediment transport,"Carley, Danesha Seth; Munoz-Carpena, Rafael; Ferruzzi, Giulio; Yuan, Yongping; Henry, Eric; Blankinship, Amy; Veith, Tamie L.; Breckels, Ross; Fox, Garey; Luo, Yuzhou; Osmond, Deanna; Preisendanz, Heather E.; Tang, Zhenxu; Armbrust, Kevin; Costello, Kevin; Mcconnell, Laura L.; Rice, Patricia; Westgate, Johnny; Whiteside, Melanie","Carley, Danesha Seth; Yuan, Yongping; Fox, Garey; Osmond, Deanna",dgseth2; yyuan25; gafox2; dosmond
Presence of pollinator-friendly habitat on pollinator communities in managed turfgrass systems,"Billeisen, T.L.; Kilpatrick, L.D.; Seth Carley, D.; Brandenburg, R.L.",Danesha Carley (dgseth2),10.1002/its2.56,2021,Plant and animal studies; Insect and Pesticide Research; Ecology and Vegetation Dynamics Studies,"Kilpatrick, L.D.; Seth Carley, D.; Brandenburg, R.L.","Seth Carley, D.",dgseth2
Composition and structure of porcine digital flexor tendon-bone insertion tissues,"Chandrasekaran, Sandhya; Pankow, Mark; Peters, Kara; Huang, Hsiao-Ying Shadow",Sandhya Chandrasekaran (schand13); Mark Pankow (mrpankow); Kara Peters (kjpeters); Hsiao-Ying Shadow Huang (hshuang),10.1002/jbm.a.36162,2017,Orthopedic Surgery and Rehabilitation; Tendon Structure and Treatment; Bone fractures and treatments,"Pankow, Mark; Peters, Kara; Huang, Hsiao-Ying Shadow","Chandrasekaran, Sandhya; Pankow, Mark; Chandrasekaran, Sandhya; Huang, Hsiao-Ying Shadow",schand13; mrpankow; kjpeters; hshuang
Fighting fibrin with fibrin: Vancomycin delivery into coagulase‐mediated <i>Staphylococcus aureus</i> biofilms via fibrin‐based nanoparticle binding,"Scull, Grant; Aligwekwe, Adrian; Rey, Ysabel; Koch, Drew; Nellenbach, Kimberly; Sheridan, Ana; Pandit, Sanika; Sollinger, Jennifer; Pierce, Joshua G.; Flick, Matthew J.; Gilbertie, Jessica; Schnabel, Lauren; Brown, Ashley C.",Grant Scull (gmscull); Ysabel Rey (ysrey); Drew Koch (dwkoch); Kimberly Nellenbach (kanellen); Ana Sheridan (aesherid); Sanika Pandit (spandit2); Jennifer Sollinger (jlsollin); Joshua Pierce (jgpierce); Jessica Gilbertie (jmgilbe2); Lauren Schnabel (lvschnab); Ashley Brown (aecarso2); Adrian Aligwekwe (analigwe),10.1002/jbm.a.37760,2024,Bacterial biofilms and quorum sensing; Antimicrobial Resistance in Staphylococcus; Oral microbiology and periodontitis research,"Aligwekwe, Adrian; Rey, Ysabel; Koch, Drew; Nellenbach, Kimberly; Sheridan, Ana; Pandit, Sanika; Sollinger, Jennifer; Pierce, Joshua G.; Flick, Matthew J.; Gilbertie, Jessica; Schnabel, Lauren; Brown, Ashley C.","Scull, Grant; Rey, Ysabel; Koch, Drew; Nellenbach, Kimberly; Sheridan, Ana; Pandit, Sanika; Sollinger, Jennifer; Pierce, Joshua G.; Gilbertie, Jessica; Schnabel, Lauren; Brown, Ashley C.; Aligwekwe, Adrian",gmscull; ysrey; dwkoch; kanellen; aesherid; spandit2; jlsollin; jgpierce; jmgilbe2; lvschnab; aecarso2; analigwe
Evaluation of silver-titanium implants activated by low intensity direct current for orthopedic infection control: An in vitro and in vivo study,"Cavanaugh, Daniel L.; Tan, Zhuo; Norris, James P.; Hardee, Amelia; Weinhold, Paul S.; Dahners, Laurence E.; Orndorff, Paul E.; Shirwaiker, Rohan A.",Zhuo Tan (ztan); Rohan Shirwaiker (rashirwa); Paul Weinhold (psweinho); Paul Orndorff (peo),10.1002/jbm.b.33451,2015,Bone Tissue Engineering Materials; Orthopaedic implants and arthroplasty; Nanoparticles: synthesis and applications,"Tan, Zhuo; Norris, James P.; Hardee, Amelia; Weinhold, Paul S.; Dahners, Laurence E.; Orndorff, Paul E.; Shirwaiker, Rohan A.","Tan, Zhuo; Shirwaiker, Rohan A.; Weinhold, Paul S.; Weinhold, Paul S.",ztan; rashirwa; psweinho; peo
Investigation of multiphasic 3D-bioplotted scaffolds for site-specific chondrogenic and osteogenic differentiation of human adipose-derived stem cells for osteochondral tissue engineering applications,"Mellor, Liliana F.; Nordberg, Rachel C.; Huebner, Pedro; Mohiti-Asli, Mahsa; Taylor, Michael A.; Efird, William; Oxford, Julia T.; Spang, Jeffrey T.; Shirwaiker, Rohan A.; Loboa, Elizabeth G.",Rohan Shirwaiker (rashirwa); Elizabeth Loboa (egloboa); Liliana F. Mellor (lfmellor); Rachel C. Nordberg (rcnordbe),10.1002/jbm.b.34542,2019,Mesenchymal stem cell research; Osteoarthritis Treatment and Mechanisms; Tissue Engineering and Regenerative Medicine,"Nordberg, Rachel C.; Huebner, Pedro; Mohiti-Asli, Mahsa; Taylor, Michael A.; Efird, William; Oxford, Julia T.; Spang, Jeffrey T.; Shirwaiker, Rohan A.; Loboa, Elizabeth G.","Shirwaiker, Rohan A.; Loboa, Elizabeth G.; Mellor, Liliana F.; Nordberg, Rachel C.",rashirwa; egloboa; lfmellor; rcnordbe
The evaluation of a multiphasic 3D-bioplotted scaffold seeded with adipose derived stem cells to repair osteochondral defects in a porcine model,"Nordberg, Rachel C.; Huebner, Pedro; Schuchard, Karl G.; Mellor, Liliana F.; Shirwaiker, Rohan A.; Loboa, Elizabeth G.; Spang, Jeffery T.",Karl Schuchard (kgschuch); Rohan Shirwaiker (rashirwa); Elizabeth Loboa (egloboa); Rachel C. Nordberg (rcnordbe),10.1002/jbm.b.34886,2021,Osteoarthritis Treatment and Mechanisms; Knee injuries and reconstruction techniques; Periodontal Regeneration and Treatments,"Huebner, Pedro; Schuchard, Karl G.; Mellor, Liliana F.; Shirwaiker, Rohan A.; Loboa, Elizabeth G.; Spang, Jeffery T.","Schuchard, Karl G.; Shirwaiker, Rohan A.; Loboa, Elizabeth G.; Nordberg, Rachel C.",kgschuch; rashirwa; egloboa; rcnordbe
Manure nutrient cycling in US animal agriculture basins-North Carolina case study,"Huezo, Luis; Jones, Daniela; Edwards, Eric; Sharara, Mahmoud",Mahmoud Sharara (msharar); Daniela Jones (dsjones5); Eric Edwards (ecedwar2),10.1002/jeq2.20545,2024,Soil and Water Nutrient Dynamics; Wastewater Treatment and Nitrogen Removal; Hydrology and Watershed Management Studies,"Jones, Daniela; Edwards, Eric; Sharara, Mahmoud","Sharara, Mahmoud; Jones, Daniela; Edwards, Eric",msharar; dsjones5; ecedwar2
Relationships between soil test phosphorus and county-level agricultural surplus phosphorus,"Tang, Qicheng; Duckworth, Owen W.; Obenour, Daniel R.; Kulesza, Stephanie B.; Slaton, Nathan A.; Whitaker, Andrew H.; Nelson, Natalie G.",Natalie Nelson (nnelson4); Stephanie Kulesza (sbkulesz); Daniel Obenour (drobenou); Owen Duckworth (owduckwo),10.1002/jeq2.20622,2024,Soil and Water Nutrient Dynamics; Soil Carbon and Nitrogen Dynamics; Phosphorus and nutrient management,"Duckworth, Owen W.; Obenour, Daniel R.; Kulesza, Stephanie B.; Slaton, Nathan A.; Whitaker, Andrew H.; Nelson, Natalie G.","Nelson, Natalie G.; Kulesza, Stephanie B.; Obenour, Daniel R.; Duckworth, Owen W.",nnelson4; sbkulesz; drobenou; owduckwo
Proportional Accumulation of Yolk Proteins Derived From Multiple Vitellogenins is Precisely Regulated During Vitellogenesis in Striped Bass (Morone saxatilis),"Williams, Valerie N.; Reading, Benjamin J.; Amano, Haruna; Hiramatsu, Naoshi; Schilling, Justin; Salger, Scott A.; Williams, Taufika Islam; Gross, Kevin; Sullivan, Craig V.",Valerie Williams (vnwillia); Benjamin Reading (bjreadin); Justin Dale Schilling (jdschill); Scott Salger (sasalger); Craig Sullivan (sull0263); Taufika Williams (tiwillia); Kevin Gross (krgross),10.1002/jez.1859,2014,Reproductive biology and impacts on aquatic species; Aquaculture Nutrition and Growth; Aquaculture disease management and microbiota,"Reading, Benjamin J.; Amano, Haruna; Hiramatsu, Naoshi; Schilling, Justin; Salger, Scott A.; Williams, Taufika Islam; Gross, Kevin; Sullivan, Craig V.","Williams, Valerie N.; Reading, Benjamin J.; Schilling, Justin; Salger, Scott A.; Sullivan, Craig V.; Williams, Valerie N.; Gross, Kevin",vnwillia; bjreadin; jdschill; sasalger; sull0263; tiwillia; krgross
Evaluation of soil health in organic vs. conventional farming of basmati rice in North India,"Sihi, D; Dari, Biswanath; Sharma, Dinesh K.; Pathak, Himanshu; Nain, Lata; Sharma, Om Parkash",Debjani Sihi (dsihi),10.1002/JPLN.201700128,2017,Soil Carbon and Nitrogen Dynamics; Agricultural Science and Fertilization; Agriculture Sustainability and Environmental Impact,"Dari, Biswanath; Sharma, Dinesh K.; Pathak, Himanshu; Nain, Lata; Sharma, Om Parkash","Sihi, D",dsihi
Physicochemical properties and antimicrobial impacts of plasma‐activated simulated seawater on <i>Escherichia coli,"Campbell, Vashti M.; Wang, Qingyang; Hall, Steven G.; Salvi, Deepti",Deepti Salvi (dasalvi),10.1002/jsf2.46,2022,Plasma Applications and Diagnostics; Hydrogen's biological and therapeutic effects; Mercury impact and mitigation studies,"Wang, Qingyang; Hall, Steven G.; Salvi, Deepti","Salvi, Deepti",dasalvi
Development of NIRS calibration curves for sugars in baked sweetpotato,"Amankwaah, Victor A.; Williamson, Sharon; Reynolds, Rong; Ibrahem, Ragy; Pecota, Kenneth V.; Zhang, Xiaofei; Olukolu, Bode A.; Truong, Van-Den; Carey, Edward; Felde, Thomas Zum; Ssali, Reuben; Yencho, George Craig",Rong Reynolds (rreynol); Ragy Ibrahem (rmibrahe); Kenneth Pecota (kvpecota); Xiaofei Zhang (xzhang67); Bode Olukolu (baolukol); Van-Den Truong (vtruong); Sharon Williamson (sharon); Craig Yencho (yencho),10.1002/jsfa.12800,2023,Spectroscopy and Chemometric Analyses; Coffee research and impacts; Genetics and Plant Breeding,"Williamson, Sharon; Reynolds, Rong; Ibrahem, Ragy; Pecota, Kenneth V.; Zhang, Xiaofei; Olukolu, Bode A.; Truong, Van-Den; Carey, Edward; Felde, Thomas Zum; Ssali, Reuben; Yencho, George Craig","Reynolds, Rong; Ibrahem, Ragy; Pecota, Kenneth V.; Zhang, Xiaofei; Olukolu, Bode A.; Truong, Van-Den; Williamson, Sharon; Yencho, George Craig",rreynol; rmibrahe; kvpecota; xzhang67; baolukol; vtruong; sharon; yencho
"Interrelations of & alpha;- and & beta;-amylase activity with starch, sugars, and culinary and nutritional quality attributes in sweetpotato storage roots","Amankwaah, Victor A. A.; Williamson, Sharon; Olukolu, Bode A. A.; Truong, Van-Den; Carey, Edward; Ssali, Reuben; Yencho, George Craig",Craig Yencho (yencho); Sharon Williamson (sharon); Bode Olukolu (baolukol); Van-Den Truong (vtruong),10.1002/jsfa.12832,2023,Food composition and properties; Cassava research and cyanide; Growth and nutrition in plants,"Williamson, Sharon; Olukolu, Bode A. A.; Truong, Van-Den; Carey, Edward; Ssali, Reuben; Yencho, George Craig","Yencho, George Craig; Williamson, Sharon; Olukolu, Bode A. A.; Truong, Van-Den",yencho; sharon; baolukol; vtruong
Near-infrared spectroscopic models for analysis of winter pea (Pisum sativum L.) quality constituents,"Saha, Uttam; Vann, Rachel A.; Reberg-Horton, S. Chris; Castillo, Miguel S.; Mirsky, Steven B.; McGee, Rebecca J.; Sonon, Leticia",Rachel Vann (raatwell); Chris Reberg-Horton (screberg); Miguel Castillo (mscastil),10.1002/jsfa.8947,2018,Genetics and Plant Breeding; Wheat and Barley Genetics and Pathology; Spectroscopy and Chemometric Analyses,"Vann, Rachel A.; Reberg-Horton, S. Chris; Castillo, Miguel S.; Mirsky, Steven B.; McGee, Rebecca J.; Sonon, Leticia","Vann, Rachel A.; Reberg-Horton, S. Chris; Castillo, Miguel S.",raatwell; screberg; mscastil
Standard metrics for characterizing episodic salinization in freshwater systems,"Neville, J. A.; Emanuel, R. E.; Nelson, N. G.; Bernhardt, E. S.; Ardon, M.",Justine Neville (janevill); Ryan Emanuel (reemanue); Natalie Nelson (nnelson4); Marcelo Ardon (mlardons),10.1002/lom3.10629,2024,Smart Materials for Construction; Climate change and permafrost; Hydrological Forecasting Using AI,"Emanuel, R. E.; Nelson, N. G.; Bernhardt, E. S.; Ardon, M.","Neville, J. A.; Emanuel, R. E.; Nelson, N. G.; Ardon, M.",janevill; reemanue; nnelson4; mlardons
Rheological Properties of Coordinated Physical Gelation and Chemical Crosslinking in Gelatin Methacryloyl (GelMA) Hydrogels,"Young, Ashlyn T.; White, Olivia C.; Daniele, Michael A.",Michael Daniele (mdaniel6); Ashlyn T. Young (atyoung3),10.1002/mabi.202000183,2020,3D Printing in Biomedical Research; Additive Manufacturing and 3D Printing Technologies; Silk-based biomaterials and applications,"White, Olivia C.; Daniele, Michael A.","Daniele, Michael A.; Young, Ashlyn T.",mdaniel6; atyoung3
Melt-Extruded Sensory Fibers for Electronic Textiles,"Tabor, Jordan; Thompson, Brendan; Agcayazi, Talha; Bozkurt, Alper; Ghosh, Tushar K.",Tushar Ghosh (tghosh); Jordan Tabor (jatabor); Brendan Evert (bjthomp2); Alper Bozkurt (aybozkur); Talha Agcayazi (tmagcaya),10.1002/mame.202100737,2021,Advanced Sensor and Energy Harvesting Materials; Interactive and Immersive Displays; Textile materials and evaluations,"Thompson, Brendan; Agcayazi, Talha; Bozkurt, Alper; Ghosh, Tushar K.","Ghosh, Tushar K.; Tabor, Jordan; Thompson, Brendan; Bozkurt, Alper; Agcayazi, Talha",tghosh; jatabor; bjthomp2; aybozkur; tmagcaya
Hyperpolarization of common antifungal agents with SABRE,"MacCulloch, Keilian; Tomhon, Patrick; Browning, Austin; Akeroyd, Evan; Lehmkuhl, Soren; Chekmenev, Eduard Y.; Theis, Thomas",Thomas Theis (ttheis); Patrick TomHon (pmtomhon); Keilian Macculloch (kjmaccul); Austin Browning (abrowni2),10.1002/mrc.5187,2021,Advanced NMR Techniques and Applications; Solid-state spectroscopy and crystallography; Atomic and Subatomic Physics Research,"Tomhon, Patrick; Browning, Austin; Akeroyd, Evan; Lehmkuhl, Soren; Chekmenev, Eduard Y.; Theis, Thomas","Theis, Thomas; Tomhon, Patrick; MacCulloch, Keilian; Browning, Austin",ttheis; pmtomhon; kjmaccul; abrowni2
Constitutive and insect‐induced transcriptomes of weevil‐resistant and susceptible Sitka spruce,"Whitehill, Justin G. A.; Yuen, Macaire M. S.; Bohlmann, Jörg",Justin Whitehill (jwhiteh2),10.1002/pei3.10053,2021,Forest Insect Ecology and Management; Forest Ecology and Biodiversity Studies; Insect-Plant Interactions and Control,"Yuen, Macaire M. S.; Bohlmann, Jörg","Whitehill, Justin G. A.",jwhiteh2
Resorbable elastomers for implantable medical devices: highlights and applications,"Turner, Brendan; Ramesh, Srivatsan; Menegatti, Stefano; Daniele, Michael",Brendan Turner (blturne5); Srivatsan Ramesh (sramesh4); Stefano Menegatti (smenega); Michael Daniele (mdaniel6),10.1002/pi.6349,2021,Advanced Sensor and Energy Harvesting Materials; Dielectric materials and actuators; Electrospun Nanofibers in Biomedical Applications,"Ramesh, Srivatsan; Menegatti, Stefano; Daniele, Michael","Turner, Brendan; Ramesh, Srivatsan; Menegatti, Stefano; Daniele, Michael",blturne5; sramesh4; smenega; mdaniel6
"Arabidopsis bioinformatics resources: The current state, challenges, and priorities for the future","Doherty, Colleen; Friesner, Joanna; Gregory, Brian; Loraine, Ann; Megraw, Molly; Meyers, Blake C.; Provart, Nicholas; Slotkin, R. Keith; Town, Chris; Assmann, Sarah M.; Axtell, Michael J.; Berardini, Tanya; Chen, Sixue; Gehan, Malia; Huala, Eva; Jaiswal, Pankaj; Larson, Stephen; Li, Song; May, Sean; Michael, Todd; Pires, Chris; Topp, Chris; Walley, Justin; Wurtele, Eve",Colleen Doherty (cjdohert),10.1002/pld3.109,2019,Genomics and Phylogenetic Studies; Gene expression and cancer classification; Biomedical Text Mining and Ontologies,"Friesner, Joanna; Gregory, Brian; Loraine, Ann; Megraw, Molly; Meyers, Blake C.; Provart, Nicholas; Slotkin, R. Keith; Town, Chris; Assmann, Sarah M.; Axtell, Michael J.; Berardini, Tanya; Chen, Sixue; Gehan, Malia; Huala, Eva; Jaiswal, Pankaj; Larson, Stephen; Li, Song; May, Sean; Michael, Todd; Pires, Chris; Topp, Chris; Walley, Justin; Wurtele, Eve","Doherty, Colleen",cjdohert
Directions for research and training in plant omics: Big Questions and Big Data,"Argueso, Cristiana T.; Assmann, Sarah M.; Birnbaum, Kenneth D.; Chen, Sixue; Dinneny, José R.; Doherty, Colleen J.; Eveland, Andrea L.; Friesner, Joanna; Greenlee, Vanessa R.; Law, Julie A.; Marshall-Colón, Amy; Mason, Grace Alex; O'Lexy, Ruby; Peck, Scott C.; Schmitz, Robert J.; Song, Liang; Stern, David; Varagona, Marguerite J.; Walley, Justin W.; Williams, Cranos M.",Colleen Doherty (cjdohert); Cranos Williams (cmwilli5),10.1002/pld3.133,2019,Photosynthetic Processes and Mechanisms; Plant Molecular Biology Research; Plant nutrient uptake and metabolism,"Assmann, Sarah M.; Birnbaum, Kenneth D.; Chen, Sixue; Dinneny, José R.; Doherty, Colleen J.; Eveland, Andrea L.; Friesner, Joanna; Greenlee, Vanessa R.; Law, Julie A.; Marshall-Colón, Amy; Mason, Grace Alex; O'Lexy, Ruby; Peck, Scott C.; Schmitz, Robert J.; Song, Liang; Stern, David; Varagona, Marguerite J.; Walley, Justin W.; Williams, Cranos M.","Doherty, Colleen J.; Williams, Cranos M.",cjdohert; cmwilli5
Inoculation with the mycorrhizal fungus Rhizophagus irregularis modulates the relationship between root growth and nutrient content in maize (Zea mays ssp. mays L.),"Rosario Ramirez-Flores, M.; Bello-Bello, Elohim; Rellan-Alvarez, Ruben; Sawers, Ruairidh J. H.; Olalde-Portugal, Victor",Rubén Rellán-Álvarez (rrellan),10.1002/pld3.192,2019,Plant nutrient uptake and metabolism; Mycorrhizal Fungi and Plant Interactions; Soil Carbon and Nitrogen Dynamics,"Bello-Bello, Elohim; Rellan-Alvarez, Ruben; Sawers, Ruairidh J. H.; Olalde-Portugal, Victor","Rellan-Alvarez, Ruben",rrellan
Flood resilience loci <i>SUBMERGENCE 1</i> and <i>ANAEROBIC GERMINATION 1</i> interact in seedlings established underwater,"Alam, Rejbana; Hummel, Maureen; Yeung, Elaine; Locke, Anna M.; Ignacio, John Carlos I.; Baltazar, Miriam D.; Jia, Zhenyu; Ismail, Abdelbagi M.; Septiningsih, Endang M.; Bailey‐Serres, Julia",Anna Locke (amlocke2),10.1002/pld3.240,2020,Plant responses to water stress; Rice Cultivation and Yield Improvement; Coastal wetland ecosystem dynamics,"Hummel, Maureen; Yeung, Elaine; Locke, Anna M.; Ignacio, John Carlos I.; Baltazar, Miriam D.; Jia, Zhenyu; Ismail, Abdelbagi M.; Septiningsih, Endang M.; Bailey‐Serres, Julia","Locke, Anna M.",amlocke2
"Broadening the impact of plant science through innovative, integrative, and inclusive outreach","Friesner, Joanna; Colón‐Carmona, Adán; Schnoes, Alexandra M.; Stepanova, Anna; Mason, Grace Alex; Macintosh, Gustavo C.; Ullah, Hemayat; Baxter, Ivan; Callis, Judy; Sierra‐Cajas, Kimberly; Elliott, Kiona; Haswell, Elizabeth S.; Zavala, Maria Elena; Wildermuth, Mary; Williams, Mary; Ayalew, Mentewab; Henkhaus, Natalie; Prunet, Nathanaël; Lemaux, Peggy G.; Yadegari, Ramin; Amasino, Rick; Hangarter, Roger; Innes, Roger; Brady, Siobhan; Long, Terri; Woodford‐Thomas, Terry; May, Victoria; Sun, Ying; Dinneny, José R.",Terri Long (talong); Anna Stepanova (atstepan),10.1002/pld3.316,2021,Animal and Plant Science Education; Diverse Educational Innovations Studies; Plant tissue culture and regeneration,"Colón‐Carmona, Adán; Schnoes, Alexandra M.; Stepanova, Anna; Mason, Grace Alex; Macintosh, Gustavo C.; Ullah, Hemayat; Baxter, Ivan; Callis, Judy; Sierra‐Cajas, Kimberly; Elliott, Kiona; Haswell, Elizabeth S.; Zavala, Maria Elena; Wildermuth, Mary; Williams, Mary; Ayalew, Mentewab; Henkhaus, Natalie; Prunet, Nathanaël; Lemaux, Peggy G.; Yadegari, Ramin; Amasino, Rick; Hangarter, Roger; Innes, Roger; Brady, Siobhan; Long, Terri; Woodford‐Thomas, Terry; May, Victoria; Sun, Ying; Dinneny, José R.","Long, Terri; Friesner, Joanna",talong; atstepan
Quantification of gray mold infection in lettuce using a bispectral imaging system under laboratory conditions,"Scarboro, Clifton G.; Ruzsa, Stephanie M.; Doherty, Colleen J.; Kudenov, Michael W.",Colleen Doherty (cjdohert); Michael Kudenov (mwkudeno); Grant Scarboro (cgscarbo); Stephanie Ruzsa (smruzgen),10.1002/pld3.317,2021,Plant Pathogens and Fungal Diseases; Spectroscopy and Chemometric Analyses; Powdery Mildew Fungal Diseases,"Ruzsa, Stephanie M.; Doherty, Colleen J.; Kudenov, Michael W.","Doherty, Colleen J.; Kudenov, Michael W.; Scarboro, Clifton G.; Ruzsa, Stephanie M.",cjdohert; mwkudeno; cgscarbo; smruzgen
